id,species,owner,countryOfOrigin,ISOofOrigin,company,region,producer,harvestYear,gradingDate,owner1,variety,processingMethod,aroma,flavor,aftertaste,acidity,body,balance,uniformity,cleanCup,sweetness,cupperPoints,totalCupPoints,moisture,color,altitudeLowMeters,altitudeHighMeters,altitudeMeanMeters,mdsX,mdsY
45,Arabica,Jungle Estate,Kenya,KEN,Keremara Limited,Nyeri,Jungle Estate,2014.0,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,Bluish-Green,1754,1754,1754,-0.8823362142311877,-1.0658579772727168
46,Arabica,Nucoffee,Brazil,BRA,Nucoffee,South Of Minas,Ralph Junqueira,2011.0,"December 3rd, 2011",Nucoffee,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,Blue-Green,1250,1250,1250,-0.8593186578388895,-1.161807285909662
47,Arabica,Great Lakes Coffee Uganda,Uganda,UGA,Ucda,Eastern Uganda,Kaasay Farmer Group,2014.0,"October 1st, 2014",Great Lakes Coffee Uganda,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,,-1,-1,-1,-0.7390995933952949,-1.0273860394663568
48,Arabica,Lusso Lab,Colombia,COL,Lusso Coffee Lab,Tolima,,2013.0,"March 20th, 2014",Lusso Lab,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,Green,900,1500,1200,-0.9392347611291092,-0.9153156497455414
49,Arabica,Lusso Lab,Kenya,KEN,Lusso Coffee Lab,Kiambu,,2013.0,"February 6th, 2014",Lusso Lab,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,Green,1520,2200,1860,-1.1494827170035373,-1.0784468570065784
50,Arabica,Afca,Uganda,UGA,Kawacom Uganda Ltd,"Sipi, Mt Elgon",Kawacom,2012.0,"February 13th, 2012",Afca,,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,Blue-Green,1400,1900,1650,-0.7774521117351569,-1.0556336687643724
51,Arabica,Ethiopia Commodity Exchange,Ethiopia,ETH,,Sidamo,Sidama Coffee Farmers Coop. Union,2009.0,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,,1500,2000,1750,-0.9842496099550152,-0.9090797965492409
52,Arabica,Grounds For Health Admin,United States Minor Outlying Islands,UMI,,Kona,Hula Daddy Kona Coffee,,"May 31st, 2010",Grounds For Health Admin,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,,130,130,130,-0.7852583875705751,-1.228592192745771
53,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,"Unex Guatemala, S.A.",Nuevo Oriente,Margarita Avila De Nuyens,2016.0,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,Green,-1,-1,-1,-0.7907853221507756,-0.9508942876991351
54,Arabica,Kawacom Uganda Ltd,Uganda,UGA,Kawacom Uganda Ltd,Eastern,Kawacom (U)Ltd,2013.0,"June 30th, 2014",Kawacom Uganda Ltd,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,Green,1400,1900,1650,-0.8043506551806906,-1.1046188268376338
55,Arabica,Exportadora De Cafe Condor S.A,Colombia,COL,Exportadora De Cafe Condor S.A,Huila,,2013.0,"July 26th, 2013",Exportadora De Cafe Condor S.A,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,Blue-Green,1800,1800,1800,-0.8933245691558401,-0.9871438074972414
56,Arabica,Gonzalo Hernandez,Panama,PAN,Ce Specialty S.A.,Boquete,Plinio Ruiz,2017.0,"October 9th, 2017",Gonzalo Hernandez,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,Bluish-Green,1600,1600,1600,-0.8297199417764453,-0.9805306330330547
57,Arabica,Ibrahim Hussien Speciality Coffee Producer &Export,Ethiopia,ETH,Ibrahim Hussien Specality Coffee Product & Exporter,Oromia,Ibrahim Hussien Specialty Coffee Producer And Exporter,2014.0,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,Green,1800,2000,1900,-0.822257896829677,-0.9251972395881334
58,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Sertrasa,Acatenango,Sertrasa,2012.0,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,Green,465,465,465,-0.9066172897162942,-0.9468954566295994
59,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Unicafe,Nuevo Oriente,William Estuardo Martinez Pacheco,2012.0,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,Bluish-Green,432,432,432,-0.9097703373804114,-0.9699052841909476
60,Arabica,Seid Damtew Coffee Planataion,Ethiopia,ETH,Seid Damtew Coffee Planation,Addis Ababa,Seid Damtew Coffee Export And Plantation,2017.0,"June 23rd, 2017",Seid Damtew Coffee Planataion,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,None,-1,-1,-1,-0.8542386508472439,-0.898375077934953
61,Arabica,Dane Loraas,Peru,PER,Sustainable Harvest,Cajamarca,,2013.0,"January 22nd, 2014",Dane Loraas,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,Green,-1,-1,-1,-0.7717929617692976,-0.9831557589354586
62,Arabica,"Colbran Coffeelands, Ltd.",Papua New Guinea,PNG,Cqi,Eastern Highlands Province,"Colbran Coffeelands, Ltd.",2012.0,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,Bluish-Green,1700,1700,1700,-1.0327907381423003,-1.7018370783235213
63,Arabica,Atlantic Specialty Coffee,El Salvador,SLV,Atlantic Specialty Coffee,Apaneca,Aida Batlle,2013.0,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,Blue-Green,1500,1500,1500,-0.7670742574046199,-0.9996166077980648
64,Arabica,Lusso Lab,El Salvador,SLV,Lusso Coffee Lab,"Ataco, Apaneca - Ilamatepec Mountain Range",Oscar Roberto Murgas Linares,2012.0,"January 12th, 2013",Lusso Lab,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,None,1300,1400,1350,-0.8500611546472634,-0.8576180060135067
65,Arabica,Kona Pacific Farmers Cooperative,United States Minor Outlying Islands,UMI,Kona Pacific Farmers Cooperative,Kona,,2012.0,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,,-1,-1,-1,-0.6725997876264841,-0.8989063862294328
66,Arabica,Essencecoffee,Panama,PAN,Essence Coffee,Boquete,Lamastus,2014.0,"May 23rd, 2015",Essencecoffee,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,,1680,1680,1680,-1.1558650432593076,-0.7417953646737727
67,Arabica,Essencecoffee,Kenya,KEN,Essence Coffee,Kirinyaga,,2014.0,"May 23rd, 2015",Essencecoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,Green,1900,1900,1900,-0.7474782077801132,-0.8864161053045082
68,Arabica,Assefa Belay Coffee Producer,Ethiopia,ETH,Assefa Belay Coffee Producer,Oromia,Assefa Belay Coffee Producer,2015.0,"March 31st, 2015",Assefa Belay Coffee Producer,,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,Green,1800,2000,1900,-0.7710401703905261,-0.8741613779348572
69,Arabica,Kyagalanyi Ltd,Uganda,UGA,Kyagalanyi Coffee Ltd,Bulambuli Eastern Region,Kyagalanyi Coffee Ltd,2013.0,"June 26th, 2014",Kyagalanyi Ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,Green,1600,1600,1600,-0.6404973710556745,-1.1270933126857365
70,Arabica,Juan Luis Alvarado Romero,Guatemala,GTM,Exportcafe,Huehuetenango,Asociacion De Permacultores De Cuilco (Santos Lopez Mejia),2013.0,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,Green,520,535,528,-0.9323008279226133,-0.7780368553306543
71,Arabica,Assefa Belay Coffee Producer,Ethiopia,ETH,Assefa Belay Coffee Producer,Oromia,Assefa Belay Coffee Producer,2015.0,"March 31st, 2015",Assefa Belay Coffee Producer,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,Green,1800,2000,1900,-0.7987749816533523,-0.8131180000709183
72,Arabica,Great Lakes Coffee Uganda,Uganda,UGA,Great Lakes Coffee,Kapchorwa,Chesiyo Farmer Group,2013.0,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,Green,1950,1950,1950,-0.5444791130443875,-0.9626931058744017
73,Arabica,Kona Pacific Farmers Cooperative,United States Minor Outlying Islands,UMI,Kona Pacific Farmers Cooperative,Kona,,2012.0,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,,-1,-1,-1,-0.6848227798140978,-1.0008035701435316
74,Arabica,Nucoffee,Brazil,BRA,Nucoffee,South Of Minas,,2011.0,"December 3rd, 2011",Nucoffee,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,Blue-Green,1250,1250,1250,-0.6426822143001771,-1.0264563489763803
75,Arabica,Grounds For Health Admin,El Salvador,SLV,,Apaneca,J. Hill Y Cia Sa De Cv,2009.0,"May 31st, 2010",Grounds For Health Admin,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,,1400,1400,1400,-0.6959355215387432,-0.893605958665605
76,Arabica,Yunnan Coffee Exchange,China,CHN,Yunnan Coffee Exchange,Yunnan,Pu'Er City Longke Coffee Co.Ltd,2015.0,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,Green,1700,1700,1700,-0.618476066836834,-0.940928739705195
77,Arabica,Essencecoffee,Guatemala,GTM,Essence Coffee,Huehuetenango,Arturo Aguirre,2014.0,"May 23rd, 2015",Essencecoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,Green,1770,1770,1770,-1.1297677224854632,-0.6233780483757106
